var,id_entidad,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
fata,18,44.0,49.0,16.0,41.0,130.0,64.0,59.0,60.0,92.0,84.0,107.0,114.0,109.0,126.0,144.0,87.0,79.0,47.0,76.0,58.0,61.0,47.0,23.0,23.0,39.0,65.0
fata,19,617.0,389.0,379.0,251.0,210.0,211.0,106.0,138.0,231.0,246.0,253.0,245.0,219.0,290.0,303.0,289.0,269.0,249.0,224.0,272.0,237.0,249.0,219.0,223.0,274.0,257.0
fata,20,117.0,95.0,112.0,81.0,87.0,137.0,100.0,89.0,125.0,85.0,163.0,131.0,149.0,124.0,79.0,105.0,80.0,89.0,81.0,79.0,59.0,46.0,66.0,61.0,44.0,87.0
fata,21,124.0,138.0,88.0,129.0,142.0,156.0,183.0,164.0,197.0,217.0,235.0,223.0,250.0,201.0,228.0,237.0,181.0,149.0,190.0,139.0,214.0,231.0,191.0,210.0,206.0,304.0
fata,22,60.0,83.0,71.0,105.0,99.0,88.0,77.0,102.0,89.0,111.0,115.0,98.0,106.0,100.0,126.0,86.0,102.0,81.0,113.0,125.0,142.0,179.0,181.0,166.0,152.0,192.0
fata,23,38.0,153.0,107.0,57.0,46.0,58.0,63.0,75.0,85.0,91.0,75.0,72.0,103.0,100.0,260.0,176.0,180.0,105.0,117.0,104.0,141.0,70.0,108.0,69.0,91.0,91.0
fata,24,127.0,118.0,141.0,140.0,134.0,114.0,152.0,138.0,143.0,157.0,120.0,164.0,125.0,108.0,132.0,144.0,146.0,181.0,119.0,131.0,123.0,132.0,94.0,85.0,126.0,94.0
fata,25,394.0,222.0,351.0,245.0,238.0,255.0,278.0,263.0,305.0,341.0,383.0,368.0,374.0,336.0,381.0,315.0,292.0,275.0,325.0,279.0,306.0,302.0,267.0,265.0,289.0,286.0
fata,26,193.0,192.0,281.0,257.0,263.0,257.0,204.0,243.0,239.0,297.0,416.0,324.0,459.0,306.0,278.0,315.0,259.0,268.0,220.0,267.0,242.0,235.0,208.0,192.0,174.0,248.0
fata,27,94.0,81.0,49.0,70.0,72.0,67.0,80.0,105.0,64.0,78.0,75.0,137.0,120.0,94.0,98.0,115.0,101.0,80.0,90.0,71.0,54.0,42.0,24.0,15.0,16.0,16.0
fata,28,151.0,274.0,198.0,160.0,135.0,152.0,174.0,195.0,228.0,213.0,198.0,207.0,199.0,192.0,161.0,178.0,197.0,233.0,196.0,195.0,232.0,169.0,180.0,169.0,153.0,180.0
fata,29,17.0,14.0,21.0,45.0,54.0,35.0,40.0,39.0,31.0,48.0,38.0,82.0,102.0,109.0,127.0,115.0,110.0,87.0,120.0,82.0,143.0,101.0,56.0,67.0,106.0,91.0
fata,30,165.0,130.0,167.0,182.0,199.0,238.0,265.0,253.0,229.0,249.0,251.0,338.0,328.0,275.0,301.0,283.0,273.0,290.0,240.0,208.0,147.0,163.0,121.0,95.0,92.0,85.0
fata,31,80.0,41.0,78.0,91.0,102.0,124.0,67.0,67.0,64.0,58.0,105.0,92.0,67.0,70.0,80.0,87.0,53.0,41.0,50.0,51.0,46.0,40.0,53.0,19.0,40.0,41.0
fata,32,80.0,82.0,105.0,99.0,74.0,95.0,110.0,80.0,97.0,89.0,107.0,125.0,134.0,129.0,92.0,82.0,95.0,91.0,95.0,125.0,102.0,97.0,128.0,95.0,109.0,104.0
peat,01,31.0,26.0,25.0,17.0,16.0,18.0,13.0,7.0,4.0,1.0,12.0,15.0,13.0,22.0,20.0,20.0,13.0,20.0,24.0,21.0,26.0,24.0,21.0,18.0,11.0,18.0
peat,02,88.0,97.0,193.0,50.0,25.0,52.0,60.0,61.0,49.0,54.0,39.0,24.0,44.0,43.0,50.0,48.0,62.0,33.0,46.0,27.0,19.0,24.0,18.0,45.0,50.0,64.0
peat,03,7.0,5.0,3.0,1.0,7.0,7.0,4.0,3.0,9.0,7.0,3.0,7.0,9.0,12.0,21.0,8.0,8.0,8.0,9.0,7.0,15.0,8.0,9.0,7.0,6.0,6.0
peat,04,3.0,4.0,8.0,4.0,6.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,7.0,4.0,6.0,6.0,5.0,6.0,6.0,8.0,5.0,3.0,7.0,4.0,2.0,3.0
peat,05,34.0,43.0,44.0,30.0,23.0,19.0,27.0,20.0,15.0,19.0,22.0,14.0,24.0,33.0,25.0,27.0,24.0,19.0,11.0,16.0,21.0,30.0,19.0,16.0,24.0,15.0
peat,06,12.0,10.0,14.0,19.0,7.0,7.0,5.0,11.0,9.0,9.0,7.0,7.0,3.0,8.0,13.0,13.0,5.0,9.0,8.0,4.0,3.0,6.0,1.0,4.0,5.0,4.0
peat,07,25.0,16.0,18.0,18.0,16.0,22.0,23.0,13.0,21.0,18.0,11.0,18.0,42.0,23.0,38.0,23.0,12.0,22.0,8.0,11.0,14.0,7.0,5.0,5.0,11.0,5.0
peat,08,85.0,53.0,67.0,61.0,96.0,72.0,78.0,124.0,88.0,92.0,64.0,73.0,101.0,112.0,114.0,91.0,94.0,85.0,138.0,124.0,86.0,99.0,90.0,88.0,92.0,110.0
peat,09,180.0,157.0,165.0,131.0,146.0,121.0,133.0,112.0,140.0,166.0,162.0,128.0,138.0,171.0,149.0,172.0,190.0,160.0,102.0,131.0,122.0,127.0,124.0,61.0,71.0,95.0
peat,10,31.0,26.0,44.0,37.0,20.0,34.0,32.0,18.0,30.0,26.0,21.0,27.0,38.0,31.0,32.0,21.0,21.0,30.0,25.0,33.0,24.0,18.0,18.0,8.0,13.0,8.0
peat,11,74.0,56.0,40.0,70.0,68.0,72.0,48.0,29.0,41.0,40.0,65.0,50.0,54.0,34.0,34.0,47.0,34.0,40.0,59.0,41.0,35.0,40.0,31.0,29.0,21.0,33.0
peat,12,16.0,17.0,19.0,26.0,19.0,27.0,25.0,20.0,22.0,20.0,27.0,22.0,27.0,28.0,21.0,25.0,24.0,20.0,5.0,18.0,7.0,8.0,8.0,6.0,22.0,21.0
peat,13,9.0,8.0,3.0,5.0,10.0,11.0,8.0,17.0,15.0,14.0,11.0,10.0,16.0,4.0,8.0,7.0,5.0,8.0,14.0,6.0,6.0,9.0,6.0,2.0,4.0,3.0
peat,14,384.0,18.0,30.0,417.0,269.0,306.0,308.0,255.0,85.0,78.0,104.0,43.0,125.0,88.0,89.0,122.0,89.0,86.0,22.0,31.0,57.0,88.0,68.0,49.0,74.0,93.0
peat,15,56.0,173.0,225.0,254.0,209.0,104.0,223.0,157.0,139.0,86.0,39.0,199.0,335.0,356.0,141.0,40.0,36.0,46.0,32.0,20.0,16.0,6.0,37.0,54.0,57.0,74.0
peat,16,47.0,60.0,55.0,57.0,57.0,69.0,54.0,51.0,43.0,52.0,49.0,28.0,56.0,54.0,76.0,62.0,54.0,40.0,57.0,46.0,28.0,29.0,23.0,33.0,21.0,27.0
peat,17,17.0,6.0,21.0,10.0,6.0,6.0,5.0,14.0,19.0,15.0,16.0,23.0,22.0,18.0,36.0,16.0,15.0,19.0,17.0,11.0,12.0,13.0,22.0,11.0,15.0,23.0
peat,18,15.0,10.0,2.0,7.0,12.0,12.0,15.0,7.0,12.0,16.0,16.0,12.0,13.0,17.0,17.0,14.0,8.0,5.0,9.0,7.0,12.0,5.0,5.0,3.0,4.0,10.0
peat,19,442.0,190.0,220.0,65.0,79.0,60.0,30.0,44.0,68.0,80.0,64.0,84.0,66.0,96.0,94.0,88.0,102.0,85.0,84.0,101.0,94.0,106.0,83.0,77.0,87.0,77.0
peat,20,29.0,21.0,27.0,22.0,29.0,22.0,18.0,19.0,18.0,15.0,26.0,18.0,22.0,21.0,9.0,14.0,6.0,9.0,7.0,16.0,12.0,14.0,10.0,8.0,9.0,16.0
peat,21,43.0,35.0,23.0,27.0,39.0,39.0,38.0,42.0,44.0,44.0,53.0,40.0,40.0,39.0,49.0,55.0,46.0,44.0,46.0,37.0,60.0,58.0,52.0,64.0,45.0,62.0
peat,22,9.0,11.0,15.0,22.0,28.0,21.0,24.0,16.0,20.0,20.0,21.0,22.0,31.0,18.0,29.0,27.0,13.0,28.0,42.0,37.0,32.0,36.0,41.0,36.0,40.0,36.0
peat,23,13.0,24.0,15.0,16.0,13.0,6.0,10.0,21.0,21.0,14.0,14.0,14.0,18.0,21.0,12.0,16.0,49.0,24.0,34.0,17.0,28.0,11.0,19.0,8.0,12.0,11.0
peat,24,38.0,38.0,40.0,47.0,35.0,32.0,39.0,26.0,27.0,30.0,25.0,27.0,25.0,25.0,32.0,31.0,40.0,32.0,20.0,34.0,30.0,25.0,24.0,11.0,17.0,14.0
peat,25,109.0,48.0,53.0,61.0,48.0,53.0,44.0,50.0,48.0,69.0,55.0,56.0,81.0,60.0,75.0,74.0,46.0,35.0,63.0,57.0,52.0,56.0,39.0,50.0,44.0,41.0
peat,26,63.0,58.0,74.0,71.0,69.0,67.0,49.0,59.0,44.0,58.0,63.0,64.0,82.0,58.0,61.0,56.0,57.0,72.0,48.0,67.0,62.0,62.0,59.0,47.0,52.0,57.0
peat,27,37.0,32.0,17.0,31.0,30.0,12.0,17.0,19.0,15.0,9.0,11.0,14.0,10.0,26.0,19.0,26.0,19.0,15.0,34.0,15.0,6.0,11.0,3.0,2.0,3.0,1.0
peat,28,30.0,61.0,51.0,39.0,24.0,31.0,42.0,42.0,49.0,59.0,45.0,41.0,42.0,51.0,47.0,57.0,49.0,70.0,38.0,54.0,50.0,34.0,39.0,30.0,30.0,35.0
peat,29,7.0,6.0,7.0,10.0,12.0,13.0,14.0,12.0,9.0,17.0,10.0,19.0,27.0,27.0,37.0,29.0,27.0,16.0,31.0,23.0,42.0,27.0,17.0,13.0,18.0,24.0
peat,30,40.0,46.0,55.0,56.0,55.0,64.0,72.0,69.0,56.0,71.0,53.0,61.0,61.0,59.0,67.0,47.0,51.0,62.0,34.0,32.0,33.0,25.0,11.0,11.0,7.0,7.0
peat,31,17.0,12.0,15.0,21.0,17.0,15.0,10.0,9.0,9.0,7.0,4.0,10.0,10.0,8.0,10.0,11.0,10.0,6.0,7.0,10.0,6.0,6.0,12.0,3.0,5.0,6.0
peat,32,25.0,13.0,24.0,26.0,12.0,14.0,7.0,11.0,5.0,9.0,14.0,11.0,19.0,12.0,7.0,9.0,9.0,8.0,9.0,9.0,4.0,12.0,9.0,3.0,6.0,6.0
cicl,01,5.0,9.0,8.0,8.0,8.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,8.0,2.0,7.0,2.0,9.0,6.0,7.0,4.0,7.0,6.0,3.0,2.0,4.0
cicl,02,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,5.0,2.0,3.0,7.0,1.0,3.0,2.0,5.0,2.0,5.0,3.0
cicl,03,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,33.0,53.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
cicl,04,1.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,2.0,2.0,7.0,3.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0
cicl,05,11.0,5.0,11.0,6.0,6.0,12.0,10.0,8.0,4.0,3.0,8.0,4.0,7.0,12.0,8.0,8.0,7.0,3.0,7.0,5.0,8.0,8.0,3.0,8.0,3.0,3.0
